iter	Passed	Remaining
0	57	57514
1	57	28919
2	58	19368
3	58	14593
4	59	11755
5	59	9860
6	59	8501
7	60	7476
8	60	6676
9	61	6039
10	61	5517
11	61	5079
12	61	4706
13	62	4391
14	62	4116
15	63	3879
16	63	3669
17	63	3480
18	64	3310
19	64	3157
20	64	3019
21	65	2893
22	65	2777
23	65	2671
24	66	2575
25	66	2484
26	67	2424
27	67	2346
28	67	2274
29	68	2206
30	68	2142
31	68	2083
32	69	2026
33	69	1977
34	69	1927
35	70	1879
36	70	1834
37	70	1792
38	71	1751
39	71	1713
40	71	1676
41	71	1641
42	72	1608
43	72	1577
44	72	1546
45	73	1516
46	73	1491
47	73	1464
48	74	1438
49	74	1414
50	74	1392
51	75	1370
52	75	1348
53	75	1327
54	76	1307
55	76	1287
56	76	1268
57	77	1251
58	77	1232
59	77	1215
60	77	1199
61	78	1184
62	78	1168
63	78	1153
64	79	1139
65	79	1125
66	79	1112
67	80	1099
68	80	1086
69	80	1073
70	81	1060
71	81	1047
72	81	1036
73	81	1024
74	82	1013
75	82	1002
76	82	991
77	82	980
78	83	971
79	83	962
80	84	953
81	84	943
82	84	932
83	84	923
84	84	914
85	85	905
86	85	897
87	85	889
88	86	881
89	86	873
90	86	865
91	86	857
92	87	849
93	87	842
94	87	834
95	87	827
96	88	820
97	88	813
98	88	807
99	89	801
100	89	794
101	89	788
102	89	782
103	90	776
104	90	771
105	90	765
106	90	759
107	91	753
108	91	747
109	91	742
110	92	737
111	92	732
112	92	728
113	93	723
114	93	718
115	93	713
116	93	708
117	94	703
118	94	698
119	94	694
120	94	689
121	95	685
122	95	680
123	95	676
124	96	672
125	96	667
126	96	663
127	96	658
128	96	654
129	97	651
130	97	647
131	97	643
132	98	639
133	98	636
134	98	632
135	98	628
136	99	625
137	99	621
138	99	618
139	100	614
140	100	611
141	100	607
142	100	603
143	100	600
144	101	597
145	101	594
146	101	591
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	560
157	104	558
158	105	555
159	105	552
160	105	549
161	105	546
162	105	544
163	106	541
164	106	539
165	106	536
166	107	533
167	107	531
168	107	529
169	107	526
170	108	524
171	108	522
172	108	520
173	109	517
174	109	515
175	109	513
176	109	511
177	110	509
178	110	507
179	110	505
180	111	502
181	111	500
182	111	498
183	111	496
184	112	494
185	112	492
186	112	490
187	113	488
188	113	486
189	113	484
190	113	482
191	114	480
192	114	478
193	114	476
194	115	475
195	115	473
196	115	471
197	115	469
198	116	467
199	116	466
200	116	464
201	117	462
202	117	461
203	117	459
204	118	457
205	118	455
206	118	454
207	118	452
208	119	450
209	119	449
210	119	447
211	119	445
212	120	444
213	120	442
214	120	440
215	120	438
216	121	437
217	121	435
218	121	434
219	122	433
220	122	431
221	122	430
222	123	428
223	123	427
224	123	426
225	124	424
226	124	423
227	124	422
228	124	420
229	125	419
230	125	417
231	125	416
232	126	414
233	126	413
234	126	412
235	126	410
236	127	409
237	127	408
238	127	406
239	127	405
240	128	403
241	128	402
242	128	401
243	129	399
244	129	398
245	129	397
246	129	395
247	130	394
248	130	393
249	130	391
250	130	390
251	131	389
252	131	388
253	131	386
254	132	385
255	132	384
256	132	383
257	132	382
258	133	381
259	133	379
260	133	378
261	133	377
262	134	376
263	134	374
264	134	373
265	134	372
266	135	371
267	135	370
268	135	368
269	135	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	137	359
277	138	358
278	138	357
279	138	356
280	139	355
281	139	354
282	139	353
283	139	352
284	140	351
285	140	350
286	140	349
287	140	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	339
297	143	338
298	143	337
299	144	336
300	144	335
301	144	334
302	144	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	147	326
311	147	325
312	147	324
313	147	323
314	148	322
315	148	321
316	148	320
317	149	319
318	149	319
319	149	318
320	149	317
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	311
327	151	311
328	152	310
329	152	309
330	152	309
331	153	308
332	153	307
333	153	306
334	154	305
335	154	304
336	154	304
337	154	303
338	155	302
339	155	301
340	155	301
341	156	300
342	156	299
343	156	298
344	156	297
345	157	296
346	157	296
347	157	295
348	157	294
